,COMPANY NAME,JOB ,LOCATION,POSTED DATE,SALARY,COMPANY LOGO
0,HDFC Bank,Future Banker – Bank Job for Freshers in Kannur,"Kannur, Kerala",16 days ago,Not Available,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
1,Bandhan Bank,Required Back Office Executive in Payyanur – Operation Dept,"Payyanur, Kerala",14 days ago,Not Available,"[[ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0 22 ... 22  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
2,Reliance Jio,Home Sales Officer – Jio Fiber Jobs in Payyanur,"Payyanur, Kerala",Not Available,₹2.46L–₹3.65L a year,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [253 253 253]
  [253 253 253]
  [253 253 253]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]"
3,HDB Financial Services Ltd,Required Operations Executive in Payyanur – HDB Finance,"Payyanur, Kerala",28 days ago,Not Available,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
4,ICICI Bank,Office Executive – ICICI Bank Career 2022 in Kannur,"Kannur, Kerala",Not Available,₹1.8L–₹5.8L a year,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[ 23  58  96]
  [ 23  58  96]
  [ 23  58  96]
  ...
  [ 23  58  96]
  [ 23  58  96]
  [ 23  58  96]]

 [[ 42  45  98]
  [ 42  45  98]
  [ 42  45  98]
  ...
  [ 42  45  98]
  [ 42  45  98]
  [ 42  45  98]]

 [[ 32  51 109]
  [ 32  51 109]
  [ 32  51 109]
  ...
  [ 32  51 109]
  [ 32  51 109]
  [ 32  51 109]]]"
5,Paytm,Paytm Service Agent – Part-time Jobs in Payyanur for Fresher,"Payyanur, Kerala",7 days ago,Not Available,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
6,Freelancer,Part-time WFH Data Entry Executive Required in Payyanur,"Payyanur, Kerala",Not Available,₹14.5T–₹19.4T a month,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
7,HDFC Bank,Future Banker – Bank Job for Freshers in Kanhangad Near Akash,"Kanhangad, Kerala",16 days ago,Not Available,"[[[  0  48  88]
  [  0  48  88]
  [  0  48  88]
  ...
  [  0  48  88]
  [  0  48  88]
  [  0  48  88]]

 [[  0  48  88]
  [  0  48  88]
  [  0  48  88]
  ...
  [  0  48  88]
  [  0  48  88]
  [  0  48  88]]

 [[  0  48  88]
  [  0  48  88]
  [  0  48  88]
  ...
  [  0  48  88]
  [  0  48  88]
  [  0  48  88]]

 ...

 [[  0  46  86]
  [  0  45  85]
  [ 20  69 109]
  ...
  [  0  43  79]
  [  6  51  92]
  [  6  51  93]]

 [[  9  58  98]
  [  0  47  87]
  [  0  39  79]
  ...
  [  6  52  88]
  [  0  45  86]
  [  3  47  92]]

 [[  0  46  86]
  [  0  46  86]
  [  0  47  87]
  ...
  [  0  44  80]
  [  0  45  86]
  [  3  47  92]]]"
8,Flipkart,Delivery Boy Jobs for 12th Pass in Taliparamba,"Taliparamba, Kerala",16 days ago,Not Available,"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]]"
9,Indiabulls Housing Finance Limited,Hiring Collection Executive – PL in Payyanur – Freshers/Experienced,"Payyanur, Kerala",7 days ago,Not Available,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
